                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1318,                 3.7091,                 2.1887,                0.23312,                0.03284,                 0.0335,                0.01623,                 3.1468,                 2.8422,                 1.4049,               0.070148,              0.0033169,              0.0033169
                      2,                 2.9609,                 2.7383,                 1.3566,                0.03969,                0.12686,                0.05108,                0.02152,                 2.5589,                 2.2523,                 1.2174,               0.040104,              0.0066064,              0.0066064
                      3,                 2.6044,                 2.3966,                 1.2601,                0.28101,                0.11515,                0.06662,                0.03004,                 2.2835,                 2.0637,                 1.1545,               0.010016,              0.0098518,              0.0098518
                      4,                  2.323,                 2.1084,                 1.1817,                 0.2433,                0.13028,                0.09061,                0.04365,                 2.0743,                 1.7937,                 1.1028,               0.009802,               0.009802,               0.009802
                      5,                  2.158,                 1.9172,                 1.1255,                 0.3766,                 0.1462,                0.10838,                0.05213,                   1.96,                 1.6528,                 1.0764,               0.009802,               0.009802,               0.009802
                      6,                  2.041,                 1.7882,                 1.0923,                0.18527,                0.15504,                   0.12,                0.06216,                 1.8707,                 1.5633,                 1.0432,               0.009736,               0.009736,               0.009736
                      7,                 1.9722,                  1.708,                  1.073,                 0.3956,                0.15806,                0.12911,                0.06709,                 1.8196,                 1.5309,                 1.0267,                0.00967,                0.00967,                0.00967
                      8,                 1.9041,                 1.6366,                 1.0549,                0.30585,                0.17273,                0.14113,                0.07399,                 1.7599,                 1.4679,                 1.0165,               0.009604,               0.009604,               0.009604
                      9,                 1.8663,                 1.5935,                 1.0421,                0.19892,                0.18236,                0.13909,                0.07384,                  1.774,                 1.4824,                 1.0083,               0.009538,               0.009538,               0.009538
                     10,                 1.8306,                 1.5496,                 1.0348,                0.21499,                0.18666,                0.15254,                0.07996,                 1.7345,                 1.4155,                0.99874,               0.009472,               0.009472,               0.009472
                     11,                 1.8097,                  1.519,                 1.0246,                0.24614,                0.20874,                0.16843,                0.09007,                 1.6833,                 1.3725,                0.98611,               0.009406,               0.009406,               0.009406
                     12,                 1.7862,                 1.4958,                 1.0203,                0.30511,                0.21593,                0.17728,                0.09611,                  1.642,                  1.342,                0.97758,                0.00934,                0.00934,                0.00934
                     13,                 1.7638,                 1.4721,                 1.0114,                 0.2616,                0.21368,                0.17476,                0.09556,                 1.6548,                 1.3569,                0.97567,               0.009274,               0.009274,               0.009274
                     14,                 1.7318,                 1.4425,                 1.0075,                0.25281,                  0.226,                0.18483,                0.09898,                 1.6245,                 1.3317,                0.97785,               0.009208,               0.009208,               0.009208
                     15,                 1.7287,                 1.4215,                 1.0026,                0.26884,                0.23284,                0.19397,                0.10538,                 1.6025,                 1.2862,                0.96966,               0.009142,               0.009142,               0.009142
