                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3198,                 3.8769,                   2.65,                0.51133,                0.01747,                0.01376,                0.00448,                  3.737,                 3.1438,                 1.7094,               0.070148,              0.0033169,              0.0033169
                      2,                 2.8782,                 2.5613,                 1.5561,                0.07886,                0.09963,                0.05852,                0.02519,                 2.5664,                 2.1169,                 1.3632,               0.040104,              0.0066064,              0.0066064
                      3,                 2.4744,                 2.1929,                 1.3835,                0.19085,                0.11482,                0.07101,                0.03107,                 2.2718,                 1.9603,                  1.277,               0.010016,              0.0098518,              0.0098518
                      4,                 2.2188,                 1.9459,                 1.2744,                0.16463,                0.14839,                0.10396,                0.05144,                 1.9516,                 1.6604,                 1.1497,               0.009802,               0.009802,               0.009802
                      5,                  2.054,                 1.7703,                 1.2063,                0.17791,                0.16777,                0.12232,                0.06038,                 1.8668,                 1.6041,                 1.1321,               0.009802,               0.009802,               0.009802
                      6,                 1.9561,                 1.6612,                  1.172,                 0.2072,                0.17437,                 0.1326,                0.06811,                 1.7816,                 1.4284,                 1.0932,               0.009736,               0.009736,               0.009736
                      7,                 1.8787,                 1.5776,                 1.1454,                0.20946,                0.19018,                0.14501,                0.07384,                  1.757,                 1.4294,                 1.0819,                0.00967,                0.00967,                0.00967
                      8,                 1.8147,                  1.516,                 1.1255,                0.24998,                0.19222,                0.16199,                0.08471,                 1.6876,                 1.3191,                 1.0573,               0.009604,               0.009604,               0.009604
                      9,                  1.779,                 1.4725,                 1.1119,                0.23401,                0.19527,                0.16628,                0.08725,                 1.6633,                 1.3165,                 1.0531,               0.009538,               0.009538,               0.009538
                     10,                 1.7514,                 1.4355,                 1.1046,                0.27338,                 0.1978,                0.17656,                0.09298,                 1.6312,                 1.2817,                 1.0385,               0.009472,               0.009472,               0.009472
                     11,                 1.7303,                 1.4092,                 1.0896,                0.27203,                0.21051,                0.18116,                0.09718,                 1.5909,                  1.258,                 1.0275,               0.009406,               0.009406,               0.009406
                     12,                 1.7104,                 1.3876,                 1.0869,                0.29379,                0.22154,                0.19876,                0.10609,                 1.5674,                  1.222,                 1.0233,                0.00934,                0.00934,                0.00934
                     13,                 1.6876,                 1.3655,                 1.0784,                0.29286,                0.23182,                 0.1928,                0.10444,                 1.5872,                 1.2386,                 1.0259,               0.009274,               0.009274,               0.009274
                     14,                 1.6655,                  1.339,                 1.0724,                0.29994,                0.23016,                0.20275,                0.11014,                 1.5359,                 1.2149,                 1.0123,               0.009208,               0.009208,               0.009208
                     15,                 1.6505,                 1.3192,                 1.0642,                0.31697,                0.23288,                0.20953,                0.11306,                 1.5581,                 1.2061,                 1.0214,               0.009142,               0.009142,               0.009142
                     16,                 1.6385,                  1.306,                 1.0617,                 0.3177,                0.23464,                0.21474,                0.11517,                 1.5383,                 1.1842,                 1.0111,               0.009076,               0.009076,               0.009076
                     17,                 1.6232,                 1.2847,                 1.0587,                0.31622,                0.24978,                0.22349,                0.12148,                 1.5029,                  1.154,                 1.0037,                0.00901,                0.00901,                0.00901
                     18,                  1.612,                 1.2719,                 1.0528,                0.33745,                0.24332,                0.22712,                0.12313,                 1.4992,                 1.1476,                 1.0017,               0.008944,               0.008944,               0.008944
